Amount,Recepient,Date,Time,Timestamp,Domain,Location,Latitude,Longitude,Classification
510,Six Pennies Food And Beverage,09-02-2024,15:53:07,09-02-2024 15:53,Food,Nerul,19.035578,73.02282,Legit
263,Gourmet Burgers,06-02-2024,13:46:28,06-02-2024 13:46,Food,Nerul,19.035578,73.02282,Legit
15,JEEVAN JYOTHI CATERERS,02-02-2024,13:30:19,02-02-2024 13:30,Food,Nerul,19.035578,73.02282,Legit
99,MOD SEAWOOD,29-01-2024,17:57:01,29-01-2024 17:57,Food,Nerul,19.035578,73.02282,Legit
120,MOD SEAWOOD,29-01-2024,17:42:13,29-01-2024 17:42,Food,Nerul,19.035578,73.02282,Legit
305,Parsik Caffe,27-01-2024,19:29:43,27-01-2024 19:29,Food,Kalwa,19.194386,72.999199,Legit
2184,KASBAAH GARDEN AND RESTAURANT,27-01-2024,02:07:54,27-01-2024 02:07,Food,Mumbra,19.186418,73.021341,Legit
160,Naturals Seawood,26-01-2024,20:15:40,26-01-2024 20:15,Food,Nerul,19.035578,73.02282,Legit
2025,BEANS AND BEYOND CAFE,26-01-2024,18:41:54,26-01-2024 18:41,Food,Nerul,19.035578,73.02282,Legit
755.81,RESTAURANT BRANDS ASIA LIMITED,19-01-2024,16:10:47,19-01-2024 16:10,Food,Nerul,19.035578,73.02282,Legit
40,Shiv Ambe Tea Shop,17-12-2023,17:59:01,17-12-2023 17:59,Food,Mumbra,19.186418,73.021341,Legit
342,Mcd,25-11-2023,21:15:55,25-11-2023 21:15,Food,Nerul,19.035578,73.02282,Legit
342,Mcd,25-11-2023,21:06:37,25-11-2023 21:06,Food,Nerul,19.035578,73.02282,Legit
299,Swiggy,25-11-2023,20:52:56,25-11-2023 20:52,Food,Nerul,19.035578,73.02282,Legit
75,Naturals Seawood,18-11-2023,18:54:18,18-11-2023 18:54,Food,Nerul,19.035578,73.02282,Legit
150,Sai Siddhi,18-11-2023,17:48:09,18-11-2023 17:48,Food,Nerul,19.035578,73.02282,Legit
419,KFC SAPPHIRE,07-11-2023,15:26:03,07-11-2023 15:26,Food,Nerul,19.035578,73.02282,Legit
104,Wow Momo Grand Central Mall Seawoods,03-11-2023,15:26:30,03-11-2023 15:26,Food,Nerul,19.035578,73.02282,Legit
154,MC DONALDS,03-11-2023,15:01:18,03-11-2023 15:01,Food,Nerul,19.035578,73.02282,Legit
225,Naturals Seawood,30-10-2023,17:09:21,30-10-2023 17:09,Food,Nerul,19.035578,73.02282,Legit
173,MC DONALDS,27-10-2023,16:10:25,27-10-2023 16:10,Food,Nerul,19.035578,73.02282,Legit
198,MOD SEAWOOD,25-10-2023,15:58:31,25-10-2023 15:58,Food,Nerul,19.035578,73.02282,Legit
10,RAJMATA VADAPAV AND,15-10-2023,21:18:29,15-10-2023 21:18,Food,Nerul,19.035578,73.02282,Legit
185,Sai Siddhi,13-10-2023,16:34:05,13-10-2023 16:34,Food,Nerul,19.035578,73.02282,Legit
175,Sai Siddhi,13-10-2023,16:33:48,13-10-2023 16:33,Food,Nerul,19.035578,73.02282,Legit
150,Naturals Seawood,12-10-2023,15:15:51,12-10-2023 15:15,Food,Nerul,19.035578,73.02282,Legit
170,Cake Factory,09-10-2023,23:26:32,09-10-2023 23:26,Food,Nerul,19.035578,73.02282,Legit
10,Parijat Delish Food Store,07-10-2023,11:05:09,07-10-2023 11:05,Food,Nerul,19.035578,73.02282,Legit
10,Parijat Delish Food Store,20-09-2023,13:32:13,20-09-2023 13:32,Food,Nerul,19.035578,73.02282,Legit
175,Zomato,17-09-2023,18:23:47,17-09-2023 18:23,Food,Nerul,19.035578,73.02282,Legit
131,MC DONALDS,13-09-2023,13:34:49,13-09-2023 13:34,Food,Nerul,19.035578,73.02282,Legit
383.98,MC DONALDS,13-09-2023,13:25:19,13-09-2023 13:25,Food,Nerul,19.035578,73.02282,Legit
160,Six Pennies Food And Beverage,11-09-2023,15:52:20,11-09-2023 15:52,Food,Nerul,19.035578,73.02282,Legit
653,Swiggy,04-09-2023,12:49:02,04-09-2023 12:49,Food,Nerul,19.035578,73.02282,Legit
287,Swiggy,04-09-2023,12:43:24,04-09-2023 12:43,Food,Nerul,19.035578,73.02282,Legit
263,Gourmet Burgers,29-08-2023,18:02:28,29-08-2023 18:02,Food,Nerul,19.035578,73.02282,Legit
110,BON BON CAKE BITES,27-08-2023,20:22:51,27-08-2023 20:22,Food,Nerul,19.035578,73.02282,Legit
860,BITES AND BREW THE FUSION CAFE,24-08-2023,16:20:17,24-08-2023 16:20,Food,Nerul,19.035578,73.02282,Legit
177,Yoo Chinese,17-08-2023,22:20:51,17-08-2023 22:20,Food,Mumbra,19.186418,73.021341,Legit
65,Jeevan Engineering Canteen,10-08-2023,13:47:35,10-08-2023 13:47,Food,Nerul,19.035578,73.02282,Legit
15,Jeevan Engineering Canteen,10-08-2023,13:44:24,10-08-2023 13:44,Food,Nerul,19.035578,73.02282,Legit
368,KFC SEAWOODS,09-08-2023,12:45:54,09-08-2023 12:45,Food,Nerul,19.035578,73.02282,Legit
178.96,MC DONALDS,09-08-2023,12:27:15,09-08-2023 12:27,Food,Nerul,19.035578,73.02282,Legit
100,Star Shawarma,08-08-2023,14:33:31,08-08-2023 14:33,Food,Nerul,19.035578,73.02282,Legit
370,BITES AND BREW THE FUSION CAFE,01-08-2023,16:36:26,01-08-2023 16:36,Food,Nerul,19.035578,73.02282,Legit
54,Parijat Delish Food Store,01-08-2023,11:08:43,01-08-2023 11:08,Food,Nerul,19.035578,73.02282,Legit
80,Yoo Chinese,31-07-2023,23:40:28,31-07-2023 23:40,Food,Mumbra,19.186418,73.021341,Legit
80,Star Shawarma,24-07-2023,18:00:06,24-07-2023 18:00,Food,Nerul,19.035578,73.02282,Legit
427,Swiggy,20-07-2023,14:09:17,20-07-2023 14:09,Food,Nerul,19.035578,73.02282,Legit
427,Swiggy,20-07-2023,14:08:27,20-07-2023 14:08,Food,Nerul,19.035578,73.02282,Legit
80,Jeevan Engineering Canteen,18-07-2023,13:11:11,18-07-2023 13:11,Food,Nerul,19.035578,73.02282,Legit
189,Sweet Blend,12-07-2023,16:50:33,12-07-2023 16:50,Food,Nerul,19.035578,73.02282,Legit
100,STAR SHAWARMA,11-07-2023,18:20:56,11-07-2023 18:20,Food,Nerul,19.035578,73.02282,Legit
242,SWIGGY,10-07-2023,13:28:14,10-07-2023 13:28,Food,Nerul,19.035578,73.02282,Legit
112,Crisfood Online LLP,26-06-2023,20:39:54,26-06-2023 20:39,Food,Mumbra,19.186418,73.021341,Legit
180,Gourmet Burgers,23-06-2023,19:28:49,23-06-2023 19:28,Food,Nerul,19.035578,73.02282,Legit
